Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Pricing
Fruits,270,Birthday,400,Refrigerated,All Seasons,High
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Low
Baked Goods,400,Corporate,500,Room Temperature,Winter,Low
Vegetables,300,Corporate,400,Room Temperature,Summer,Moderate
Dairy Products,380,Wedding,480,Room Temperature,Winter,Moderate
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,High
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Low
Vegetables,350,Social Gathering,450,Refrigerated,Summer,Low
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Low
Dairy Products,320,Wedding,400,Room Temperature,Summer,Moderate
Fruits,220,Birthday,300,Room Temperature,All Seasons,Moderate
Baked Goods,350,Birthday,450,Room Temperature,Winter,High
Baked Goods,412,Corporate,478,Room Temperature,Winter,Low
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Low
Fruits,350,Wedding,450,Room Temperature,All Seasons,Moderate
Vegetables,320,Birthday,400,Refrigerated,All Seasons,Moderate
Vegetables,350,Corporate,450,Refrigerated,Winter,Moderate
Vegetables,250,Wedding,350,Refrigerated,Summer,Moderate
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,High
Fruits,429,Social Gathering,496,Room Temperature,Winter,Low
Baked Goods,280,Wedding,354,Room Temperature,All Seasons,Low
Dairy Products,400,Birthday,350,Room Temperature,Summer,High
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Low
Dairy Products,280,Wedding,480,Room Temperature,All Seasons,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Moderate
Dairy Products,208,Birthday,282,Room Temperature,Winter,Moderate
Vegetables,230,Social Gathering,500,Refrigerated,Summer,Moderate
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Low
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Low
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Moderate
Dairy Products,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,208,Social Gathering,282,Room Temperature,Winter,Moderate
Fruits,261,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,320,Birthday,480,Refrigerated,Winter,High
Fruits,300,Wedding,400,Refrigerated,Winter,High
Meat,491,Birthday,497,Refrigerated,Winter,High
Meat,220,Corporate,300,Refrigerated,Winter,Low
Meat,275,Wedding,388,Refrigerated,Winter,Low
Dairy Products,350,Social Gathering,450,Room Temperature,Winter,Moderate
Dairy Products,300,Corporate,400,Room Temperature,Winter,Moderate
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,High
Meat,300,Birthday,400,Refrigerated,Winter,Moderate
Meat,320,Wedding,400,Refrigerated,Winter,Moderate
Meat,380,Corporate,480,Refrigerated,Summer,Moderate
Meat,442,Corporate,482,Refrigerated,Summer,Low
Baked Goods,250,Wedding,350,Room Temperature,Winter,Low
Baked Goods,250,Corporate,500,Room Temperature,Summer,High
Vegetables,300,Wedding,400,Refrigerated,Winter,Low
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Meat,320,Social Gathering,400,Refrigerated,Winter,High
Meat,250,Corporate,350,Refrigerated,Winter,Low
Meat,350,Birthday,450,Refrigerated,Winter,High
Meat,380,Wedding,500,Room Temperature,Summer,High
Meat,400,Birthday,500,Refrigerated,All Seasons,High
Fruits,350,Corporate,450,Room Temperature,Winter,Low
Vegetables,400,Wedding,500,Refrigerated,Winter,High
Fruits,350,Wedding,450,Room Temperature,All Seasons,Low
Fruits,250,Wedding,350,Room Temperature,Summer,High
Fruits,280,Birthday,350,Room Temperature,All Seasons,Low
Fruits,400,Corporate,500,Refrigerated,Summer,High
Meat,300,Birthday,400,Room Temperature,Winter,Moderate
Baked Goods,220,Corporate,300,Room Temperature,Winter,Low
Fruits,320,Social Gathering,480,Room Temperature,Winter,High
Meat,230,Corporate,500,Refrigerated,All Seasons,Low
Meat,453,Corporate,484,Room Temperature,Winter,High
Fruits,380,Wedding,500,Room Temperature,Summer,High
Vegetables,320,Corporate,480,Room Temperature,Winter,High
Meat,491,Social Gathering,497,Refrigerated,All Seasons,High
Fruits,280,Birthday,350,Room Temperature,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,Low
Fruits,450,Social Gathering,500,Room Temperature,Winter,High
Vegetables,220,Corporate,300,Refrigerated,Summer,Moderate
Fruits,261,Corporate,350,Room Temperature,Winter,Moderate
Fruits,220,Social Gathering,300,Room Temperature,Winter,Low
Meat,320,Corporate,400,Refrigerated,All Seasons,Moderate
Dairy Products,250,Wedding,350,Room Temperature,Summer,High
Baked Goods,220,Social Gathering,450,Room Temperature,Summer,Low
Baked Goods,292,Wedding,470,Room Temperature,All Seasons,High
Dairy Products,320,Corporate,400,Room Temperature,Summer,Moderate
Dairy Products,300,Corporate,400,Room Temperature,Winter,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Baked Goods,453,Birthday,484,Room Temperature,All Seasons,High
Baked Goods,320,Wedding,400,Room Temperature,Summer,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Low
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Low
Dairy Products,310,Social Gathering,350,Room Temperature,Summer,High
Dairy Products,220,Corporate,300,Room Temperature,Summer,Moderate
Fruits,400,Social Gathering,500,Room Temperature,All Seasons,High
Baked Goods,230,Corporate,500,Room Temperature,All Seasons,Low
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Moderate
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,397,Social Gathering,482,Room Temperature,Winter,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,350,Corporate,450,Refrigerated,Summer,High
Meat,320,Social Gathering,480,Room Temperature,Winter,High
Vegetables,280,Wedding,350,Refrigerated,Winter,Low
Meat,320,Social Gathering,400,Refrigerated,All Seasons,High
Dairy Products,438,Wedding,493,Room Temperature,Winter,Moderate
Vegetables,412,Social Gathering,478,Room Temperature,Summer,Low
Dairy Products,300,Wedding,400,Room Temperature,All Seasons,High
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,350,Social Gathering,450,Room Temperature,Winter,High
Meat,300,Birthday,400,Refrigerated,Winter,Moderate
Meat,280,Corporate,350,Refrigerated,Summer,Low
Fruits,320,Birthday,400,Room Temperature,Summer,High
Baked Goods,367,Birthday,420,Room Temperature,Winter,Low
Vegetables,220,Wedding,300,Refrigerated,Summer,Low
Baked Goods,250,Corporate,350,Room Temperature,All Seasons,Moderate
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,High
Baked Goods,350,Social Gathering,450,Room Temperature,All Seasons,Low
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,High
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Moderate
Dairy Products,310,Social Gathering,350,Room Temperature,All Seasons,High
Baked Goods,342,Social Gathering,405,Room Temperature,All Seasons,Moderate
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Moderate
Meat,400,Wedding,500,Refrigerated,All Seasons,High
Vegetables,302,Birthday,371,Refrigerated,All Seasons,Low
Meat,220,Corporate,300,Room Temperature,Winter,Moderate
Fruits,400,Wedding,500,Refrigerated,All Seasons,High
Meat,350,Wedding,450,Refrigerated,Winter,Moderate
Meat,250,Corporate,400,Refrigerated,Winter,Low
Meat,453,Birthday,484,Refrigerated,Summer,High
Meat,208,Wedding,282,Refrigerated,Winter,Moderate
Meat,320,Wedding,400,Room Temperature,Winter,Moderate
Fruits,292,Wedding,470,Refrigerated,Summer,High
Meat,240,Wedding,450,Refrigerated,Summer,Low
Meat,220,Wedding,300,Refrigerated,Winter,Moderate
Meat,350,Wedding,450,Refrigerated,Summer,High
Vegetables,220,Wedding,300,Refrigerated,Summer,Moderate
Meat,380,Corporate,480,Refrigerated,Summer,Moderate
Baked Goods,320,Birthday,400,Room Temperature,Summer,Moderate
Fruits,350,Corporate,450,Room Temperature,Winter,High
Vegetables,350,Corporate,450,Refrigerated,Winter,High
Fruits,280,Birthday,350,Refrigerated,All Seasons,Moderate
Fruits,350,Corporate,450,Room Temperature,Winter,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Fruits,320,Corporate,400,Room Temperature,Summer,Moderate
Meat,250,Wedding,350,Room Temperature,Winter,Moderate
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Fruits,280,Corporate,350,Refrigerated,Winter,Low
Fruits,320,Wedding,400,Room Temperature,Summer,High
Vegetables,320,Social Gathering,400,Refrigerated,Winter,High
Meat,220,Corporate,300,Room Temperature,Winter,Moderate
Fruits,350,Birthday,450,Refrigerated,Summer,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Fruits,350,Birthday,450,Room Temperature,Winter,High
Meat,350,Corporate,450,Refrigerated,All Seasons,Moderate
Baked Goods,300,Wedding,400,Room Temperature,Summer,Moderate
Meat,350,Wedding,450,Room Temperature,Summer,Moderate
Vegetables,400,Wedding,500,Refrigerated,Summer,High
Vegetables,280,Birthday,350,Refrigerated,All Seasons,Moderate
Fruits,310,Corporate,350,Room Temperature,All Seasons,High
Vegetables,220,Social Gathering,300,Refrigerated,Summer,Low
Baked Goods,350,Corporate,450,Room Temperature,All Seasons,Moderate
Fruits,380,Social Gathering,480,Refrigerated,Summer,Moderate
Fruits,300,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,284,Birthday,443,Room Temperature,All Seasons,Low
Baked Goods,320,Wedding,400,Room Temperature,Summer,Moderate
Vegetables,350,Corporate,450,Refrigerated,Winter,Moderate
Fruits,250,Wedding,350,Room Temperature,Winter,Moderate
Vegetables,400,Wedding,500,Room Temperature,Summer,High
Baked Goods,350,Wedding,450,Room Temperature,Winter,High
Fruits,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,High
Meat,280,Social Gathering,350,Refrigerated,All Seasons,Moderate
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Vegetables,220,Social Gathering,450,Refrigerated,Summer,Moderate
Fruits,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,230,Wedding,500,Room Temperature,All Seasons,Low
Dairy Products,438,Wedding,493,Room Temperature,Summer,Moderate
Vegetables,300,Social Gathering,400,Refrigerated,Summer,High
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,High
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,Winter,Moderate
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Low
Vegetables,280,Corporate,350,Room Temperature,All Seasons,Moderate
Baked Goods,250,Corporate,350,Room Temperature,Winter,Moderate
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Moderate
Dairy Products,342,Corporate,405,Room Temperature,All Seasons,Moderate
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Moderate
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Moderate
Baked Goods,300,Corporate,400,Room Temperature,All Seasons,High
Meat,300,Social Gathering,400,Refrigerated,Winter,High
Fruits,400,Social Gathering,500,Refrigerated,Winter,Low
Fruits,300,Birthday,400,Room Temperature,Summer,Moderate
Fruits,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,400,Wedding,500,Room Temperature,Winter,High
Vegetables,280,Birthday,480,Room Temperature,All Seasons,Low
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,Low
Dairy Products,280,Birthday,350,Room Temperature,Winter,Moderate
Dairy Products,250,Corporate,350,Room Temperature,Winter,Moderate
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Low
Dairy Products,250,Wedding,350,Room Temperature,Winter,Moderate
Baked Goods,380,Social Gathering,480,Room Temperature,Winter,Moderate
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Baked Goods,250,Corporate,350,Room Temperature,Summer,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,High
Baked Goods,290,Social Gathering,374,Room Temperature,All Seasons,Low
Dairy Products,350,Wedding,450,Room Temperature,Summer,High
Baked Goods,491,Social Gathering,497,Room Temperature,All Seasons,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Moderate
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Moderate
Dairy Products,400,Birthday,500,Room Temperature,All Seasons,High
Fruits,250,Social Gathering,350,Refrigerated,All Seasons,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Low
Baked Goods,320,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,High
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,Moderate
Meat,284,Birthday,443,Refrigerated,Summer,Low
Meat,280,Corporate,350,Refrigerated,Winter,Low
Meat,300,Wedding,400,Refrigerated,Winter,Low
Meat,300,Corporate,400,Refrigerated,Winter,High
Meat,310,Corporate,450,Refrigerated,All Seasons,Low
Meat,412,Wedding,478,Refrigerated,Winter,Low
Meat,434,Wedding,495,Refrigerated,Summer,Low
Meat,250,Birthday,350,Refrigerated,Summer,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Fruits,280,Birthday,350,Room Temperature,Summer,Low
Meat,300,Social Gathering,400,Refrigerated,Winter,Low
Meat,300,Wedding,400,Room Temperature,Winter,Low
Meat,400,Wedding,500,Refrigerated,Winter,High
Meat,320,Social Gathering,400,Room Temperature,Winter,High
Meat,250,Social Gathering,350,Refrigerated,All Seasons,Low
Vegetables,320,Corporate,400,Refrigerated,All Seasons,High
Meat,300,Social Gathering,400,Room Temperature,Winter,Low
Meat,320,Corporate,400,Room Temperature,Winter,Moderate
Fruits,400,Birthday,500,Refrigerated,Winter,High
Meat,310,Social Gathering,450,Refrigerated,Summer,Low
Fruits,250,Wedding,350,Room Temperature,All Seasons,High
Meat,300,Corporate,400,Refrigerated,Summer,Moderate
Vegetables,300,Birthday,400,Refrigerated,Winter,Moderate
Vegetables,280,Corporate,480,Refrigerated,Winter,Low
Baked Goods,434,Wedding,495,Room Temperature,Summer,Low
Fruits,280,Social Gathering,350,Room Temperature,Winter,Low
Fruits,400,Corporate,350,Room Temperature,Winter,High
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,High
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Meat,250,Wedding,350,Refrigerated,All Seasons,Moderate
Meat,230,Wedding,500,Refrigerated,All Seasons,Moderate
Meat,220,Social Gathering,300,Room Temperature,Winter,Moderate
Baked Goods,380,Corporate,500,Room Temperature,Winter,High
Fruits,280,Corporate,350,Room Temperature,All Seasons,Moderate
Fruits,300,Social Gathering,400,Room Temperature,All Seasons,High
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
Dairy Products,280,Birthday,350,Room Temperature,Summer,Moderate
Baked Goods,300,Birthday,400,Room Temperature,All Seasons,Low
Baked Goods,280,Social Gathering,350,Room Temperature,Summer,Low
Meat,350,Social Gathering,450,Room Temperature,Winter,High
Vegetables,300,Wedding,400,Refrigerated,Winter,Moderate
Meat,320,Social Gathering,400,Room Temperature,Winter,Moderate
Dairy Products,230,Social Gathering,500,Room Temperature,Winter,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Moderate
Meat,300,Corporate,400,Refrigerated,Summer,Low
Meat,320,Social Gathering,400,Room Temperature,Winter,Moderate
Fruits,350,Social Gathering,450,Room Temperature,All Seasons,Low
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,High
Dairy Products,350,Corporate,450,Room Temperature,Winter,High
Fruits,350,Wedding,450,Room Temperature,Summer,High
Vegetables,350,Corporate,450,Refrigerated,Summer,High
Fruits,250,Wedding,400,Refrigerated,Winter,Low
Fruits,320,Wedding,400,Refrigerated,Summer,Moderate
Meat,267,Birthday,393,Refrigerated,Summer,Low
Fruits,400,Corporate,500,Refrigerated,Summer,Low
Fruits,350,Corporate,350,Room Temperature,Winter,High
Meat,300,Corporate,400,Refrigerated,Winter,Moderate
Fruits,439,Birthday,459,Room Temperature,All Seasons,Low
Baked Goods,275,Wedding,388,Room Temperature,Winter,Low
Vegetables,320,Social Gathering,400,Refrigerated,Winter,High
Fruits,250,Corporate,480,Room Temperature,Winter,Low
Fruits,300,Wedding,400,Room Temperature,Summer,Moderate
Vegetables,220,Corporate,300,Room Temperature,Summer,Low
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Baked Goods,250,Corporate,480,Room Temperature,Winter,Low
Vegetables,280,Wedding,350,Room Temperature,Summer,Low
Dairy Products,320,Birthday,480,Room Temperature,Winter,High
Vegetables,230,Wedding,500,Refrigerated,Summer,Moderate
Vegetables,250,Birthday,350,Refrigerated,Summer,High
Vegetables,300,Social Gathering,400,Refrigerated,Summer,Moderate
Vegetables,261,Wedding,350,Refrigerated,Winter,Moderate
Fruits,300,Corporate,450,Room Temperature,Winter,High
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Low
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Moderate
Baked Goods,261,Birthday,350,Room Temperature,Summer,Moderate
Dairy Products,380,Corporate,480,Room Temperature,All Seasons,Moderate
Baked Goods,220,Social Gathering,300,Room Temperature,Summer,Moderate
Fruits,250,Social Gathering,350,Room Temperature,Summer,High
Vegetables,429,Wedding,496,Refrigerated,Summer,Low
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,High
Baked Goods,300,Corporate,400,Room Temperature,Summer,Low
Dairy Products,320,Corporate,400,Room Temperature,Winter,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Moderate
Dairy Products,400,Social Gathering,500,Room Temperature,All Seasons,High
Meat,491,Wedding,497,Refrigerated,Summer,High
Meat,250,Corporate,350,Refrigerated,Winter,Low
Baked Goods,280,Wedding,350,Room Temperature,Winter,Moderate
Meat,438,Birthday,493,Room Temperature,Winter,Moderate
Baked Goods,472,Social Gathering,489,Room Temperature,Winter,Low
Baked Goods,491,Birthday,497,Room Temperature,All Seasons,High
Baked Goods,400,Corporate,500,Room Temperature,Summer,High
Baked Goods,300,Birthday,400,Room Temperature,Summer,Low
Vegetables,320,Wedding,400,Refrigerated,All Seasons,High
Vegetables,250,Corporate,350,Refrigerated,Winter,Moderate
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Low
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Dairy Products,400,Birthday,500,Room Temperature,All Seasons,Low
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,400,Corporate,500,Room Temperature,Winter,High
Baked Goods,350,Corporate,450,Room Temperature,Winter,Moderate
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,High
Fruits,250,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,292,Corporate,470,Room Temperature,All Seasons,High
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,High
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Baked Goods,450,Social Gathering,500,Room Temperature,All Seasons,High
Fruits,280,Social Gathering,350,Room Temperature,Summer,Moderate
Meat,380,Corporate,480,Refrigerated,Winter,Moderate
Meat,320,Wedding,400,Refrigerated,Winter,Moderate
Meat,207,Corporate,280,Refrigerated,Winter,High
Meat,491,Birthday,497,Room Temperature,Winter,High
Meat,267,Corporate,393,Refrigerated,Summer,Low
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Moderate
Baked Goods,280,Corporate,350,Room Temperature,All Seasons,Moderate
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,Summer,Moderate
Baked Goods,491,Social Gathering,497,Room Temperature,All Seasons,High
Dairy Products,438,Corporate,493,Room Temperature,All Seasons,Moderate
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Moderate
Baked Goods,442,Social Gathering,482,Room Temperature,All Seasons,Low
Meat,270,Corporate,470,Refrigerated,Winter,High
Meat,284,Social Gathering,443,Refrigerated,Winter,Low
Meat,250,Wedding,400,Refrigerated,Winter,Low
Meat,320,Corporate,400,Refrigerated,Summer,Moderate
Meat,220,Wedding,300,Refrigerated,Winter,Moderate
Meat,367,Social Gathering,420,Refrigerated,All Seasons,Low
Meat,434,Birthday,495,Refrigerated,Winter,High
Meat,280,Corporate,350,Refrigerated,Summer,Moderate
Meat,240,Birthday,450,Refrigerated,All Seasons,Low
Fruits,380,Birthday,480,Room Temperature,Winter,Moderate
Dairy Products,320,Birthday,400,Room Temperature,Summer,High
Fruits,250,Social Gathering,480,Refrigerated,Winter,Low
Fruits,302,Corporate,371,Room Temperature,All Seasons,Low
Fruits,300,Wedding,400,Room Temperature,Winter,High
Vegetables,267,Corporate,393,Refrigerated,Summer,Low
Fruits,320,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,488,Corporate,498,Room Temperature,Winter,High
Meat,350,Corporate,450,Room Temperature,Winter,High
Fruits,300,Social Gathering,400,Refrigerated,All Seasons,High
Vegetables,300,Birthday,400,Refrigerated,Summer,Moderate
Dairy Products,472,Birthday,489,Room Temperature,All Seasons,Low
Fruits,380,Corporate,480,Refrigerated,All Seasons,Moderate
Vegetables,429,Wedding,496,Refrigerated,All Seasons,Low
Baked Goods,220,Birthday,300,Refrigerated,All Seasons,Low
Meat,220,Social Gathering,300,Room Temperature,Summer,Low
Fruits,350,Corporate,450,Refrigerated,Winter,Moderate
Dairy Products,250,Corporate,350,Room Temperature,Winter,High
Fruits,230,Wedding,500,Room Temperature,Winter,Moderate
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,High
Meat,320,Corporate,400,Refrigerated,Winter,High
Meat,310,Wedding,450,Refrigerated,Summer,Low
Fruits,491,Birthday,497,Refrigerated,Winter,High
Meat,491,Birthday,497,Refrigerated,Summer,High
Meat,280,Birthday,350,Refrigerated,Summer,Moderate
Meat,292,Corporate,470,Refrigerated,Winter,High
Vegetables,300,Wedding,400,Refrigerated,Summer,High
Baked Goods,320,Birthday,400,Room Temperature,Winter,High
Fruits,310,Corporate,350,Room Temperature,Summer,High
Vegetables,280,Social Gathering,350,Refrigerated,Summer,Low
Meat,320,Social Gathering,400,Refrigerated,All Seasons,High
Meat,300,Corporate,400,Refrigerated,Summer,Moderate
Vegetables,380,Wedding,500,Refrigerated,Winter,High
Fruits,380,Birthday,480,Refrigerated,All Seasons,Moderate
Fruits,400,Wedding,500,Room Temperature,Winter,High
Fruits,350,Wedding,450,Refrigerated,All Seasons,High
Meat,320,Birthday,400,Refrigerated,Summer,Moderate
Meat,350,Wedding,450,Refrigerated,All Seasons,High
Fruits,429,Wedding,496,Room Temperature,Summer,Low
Vegetables,350,Corporate,450,Refrigerated,Summer,High
Fruits,491,Birthday,497,Room Temperature,All Seasons,High
Meat,350,Birthday,450,Room Temperature,Winter,Moderate
Meat,491,Social Gathering,497,Room Temperature,Winter,High
Baked Goods,310,Corporate,350,Room Temperature,Summer,High
Baked Goods,284,Social Gathering,443,Room Temperature,Winter,Low
Fruits,220,Wedding,300,Room Temperature,All Seasons,Moderate
Fruits,250,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,400,Wedding,500,Room Temperature,Winter,High
